name,IP address,% packet loss,rtt min,rtt avg,rtt max,rtt mdev,time of day,packet_size
lb-192-30-253-113-iad.github.com,192.30.253.113,0%,31.115,31.203,31.249,0.226,1,64
lb-192-30-253-113-iad.github.com,192.30.253.113,0%,30.915,31.516,31.696,0.317,1,128
lb-192-30-253-113-iad.github.com,192.30.253.113,0%,32.287,32.405,32.591,0.231,1,256
lb-192-30-253-113-iad.github.com,192.30.253.113,0%,33.686,33.775,33.886,0.239,1,512
lb-192-30-253-113-iad.github.com,192.30.253.113,0%,36.792,36.897,37.199,0.140,1,1024
lb-192-30-253-113-iad.github.com,192.30.253.113,0%,42.322,42.395,42.463,0.100,1,2048
