name,IP address,% packet loss,rtt min,rtt avg,rtt max,rtt mdev,time of day,packet_size
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.445,97.532,97.626,0.049,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.450,97.514,97.609,0.372,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.506,97.639,98.478,0.485,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.504,97.568,97.774,0.402,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.471,97.584,98.026,0.374,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.531,97.636,97.802,0.324,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.482,97.549,97.664,0.316,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.483,97.538,97.668,0.203,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.494,97.551,97.623,0.055,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.475,97.570,97.836,0.260,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.473,97.539,97.616,0.372,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.530,97.664,98.077,0.452,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.503,97.593,97.745,0.208,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.501,97.569,97.629,0.283,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.413,97.553,97.812,0.383,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.515,97.555,97.616,0.370,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.489,97.546,97.606,0.245,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.470,97.563,97.898,0.115,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.498,97.551,97.599,0.370,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,97.481,97.541,97.621,0.282,16,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.558,86.257,91.475,1.767,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.576,85.805,86.626,0.470,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.591,85.748,85.911,0.279,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.576,85.751,86.765,0.520,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.587,85.655,85.797,0.268,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.581,85.652,86.029,0.391,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.582,85.621,85.724,0.136,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.561,85.629,85.662,0.294,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.567,85.669,86.218,0.226,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.556,85.704,85.963,0.411,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.543,85.631,85.741,0.325,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.579,85.650,85.793,0.352,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.566,85.663,85.867,0.357,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.575,85.605,85.651,0.186,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.587,85.643,85.695,0.228,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.582,85.832,87.528,0.611,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.555,85.643,85.794,0.353,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.617,85.690,85.873,0.400,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.578,85.707,86.061,0.324,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.560,85.658,85.954,0.281,23,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.584,85.737,86.480,0.410,0,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.628,85.681,85.726,0.371,0,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.609,85.733,86.443,0.353,0,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.572,85.645,85.706,0.296,0,64
edge-star-mini-shv-01-frt3.facebook.com,31.13.92.36,0%,85.596,85.712,86.423,0.301,0,64
