name,IP address,% packet loss,rtt min,rtt avg,rtt max,rtt mdev,time of day,packet_size
no-reverse-dns-configured.com,81.171.22.7,60%,644.095,673.385,701.591,24.476,16,64
no-reverse-dns-configured.com,64.32.8.68,0%,70.680,70.751,70.795,0.171,16,64
no-reverse-dns-configured.com,207.244.67.218,0%,526.366,589.742,648.226,38.782,16,64
no-reverse-dns-configured.com,81.171.22.7,0%,550.778,665.844,735.221,55.071,16,64
no-reverse-dns-configured.com,81.171.22.7,40%,605.473,677.117,806.046,71.284,16,64
no-reverse-dns-configured.com,81.171.22.7,30%,545.013,637.961,746.901,60.038,16,64
no-reverse-dns-configured.com,207.244.67.218,10%,518.437,608.082,692.761,60.912,16,64
no-reverse-dns-configured.com,207.244.67.218,0%,530.170,591.846,671.977,41.471,16,64
no-reverse-dns-configured.com,64.32.8.68,0%,70.709,70.768,70.874,0.360,16,64
no-reverse-dns-configured.com,207.244.67.218,0%,515.034,587.164,648.679,41.525,16,64
no-reverse-dns-configured.com,207.244.67.218,10%,549.187,590.188,642.977,29.260,16,64
no-reverse-dns-configured.com,207.244.67.218,0%,771.218,881.555,976.261,58.471,16,64
no-reverse-dns-configured.com,207.244.67.218,0%,681.358,841.550,922.630,70.694,16,64
no-reverse-dns-configured.com,64.32.8.68,60%,70.726,70.760,70.797,0.025,16,64
no-reverse-dns-configured.com,207.244.67.218,30%,711.798,816.819,1002.714,88.342,16,64
no-reverse-dns-configured.com,64.32.8.68,0%,70.694,70.756,70.820,0.241,16,64
no-reverse-dns-configured.com,64.32.8.68,50%,70.683,70.769,70.814,0.295,16,64
no-reverse-dns-configured.com,64.32.8.68,0%,70.689,70.763,70.848,0.295,16,64
no-reverse-dns-configured.com,64.32.8.68,0%,70.677,70.787,71.245,0.230,16,64
no-reverse-dns-configured.com,207.244.67.218,0%,807.221,905.948,991.403,68.171,16,64
no-reverse-dns-configured.com,64.32.8.68,0%,70.711,71.205,75.188,1.349,23,64
no-reverse-dns-configured.com,207.244.67.218,10%,744.103,879.495,981.353,65.639,23,64
no-reverse-dns-configured.com,207.244.67.218,10%,798.990,899.329,981.432,54.759,23,64
no-reverse-dns-configured.com,207.244.67.218,0%,787.615,898.433,994.206,58.915,23,64
no-reverse-dns-configured.com,64.32.8.68,30%,70.730,70.771,70.876,0.321,23,64
no-reverse-dns-configured.com,207.244.67.218,20%,746.123,829.008,932.209,60.871,23,64
no-reverse-dns-configured.com,207.244.67.218,0%,745.005,875.872,982.825,58.705,23,64
no-reverse-dns-configured.com,207.244.67.218,10%,755.899,878.178,967.616,66.602,23,64
no-reverse-dns-configured.com,37.48.65.150,20%,765.432,932.936,1018.446,73.272,23,64
no-reverse-dns-configured.com,207.244.67.218,10%,802.698,896.335,952.957,42.808,23,64
no-reverse-dns-configured.com,64.32.8.68,0%,70.731,70.782,70.870,0.173,23,64
no-reverse-dns-configured.com,207.244.67.218,10%,761.034,885.202,979.802,56.783,23,64
no-reverse-dns-configured.com,64.32.8.68,10%,70.683,70.745,70.803,0.356,23,64
no-reverse-dns-configured.com,207.244.67.218,40%,779.143,870.293,942.768,57.638,23,64
no-reverse-dns-configured.com,64.32.8.68,0%,70.811,70.894,70.944,0.126,23,64
no-reverse-dns-configured.com,207.244.67.218,0%,32.134,32.284,32.562,0.224,23,64
no-reverse-dns-configured.com,81.171.22.6,50%,100.129,100.201,100.257,0.041,23,64
no-reverse-dns-configured.com,64.32.8.67,0%,71.516,71.574,71.651,0.242,23,64
no-reverse-dns-configured.com,207.244.67.218,40%,32.136,32.173,32.207,0.148,23,64
no-reverse-dns-configured.com,64.32.8.67,20%,71.515,71.555,71.599,0.328,23,64
no-reverse-dns-configured.com,207.244.67.218,40%,32.201,32.260,32.377,0.239,0,64
no-reverse-dns-configured.com,64.32.8.67,0%,70.073,70.539,74.302,1.271,0,64
no-reverse-dns-configured.com,207.244.67.218,0%,32.134,32.182,32.254,0.090,0,64
no-reverse-dns-configured.com,81.171.22.6,40%,100.228,101.115,103.674,1.280,0,64
no-reverse-dns-configured.com,37.48.65.151,0%,100.063,100.848,106.864,2.053,0,64
no-reverse-dns-configured.com,207.244.67.218,50%,32.143,32.468,33.493,0.551,0,64
no-reverse-dns-configured.com,64.32.8.67,0%,70.006,70.127,70.336,0.369,0,64
no-reverse-dns-configured.com,207.244.67.218,10%,32.015,32.237,32.337,0.088,0,64
no-reverse-dns-configured.com,64.32.8.67,0%,70.049,70.118,70.192,0.175,0,64
no-reverse-dns-configured.com,207.244.67.218,0%,32.147,32.248,32.362,0.220,0,64
no-reverse-dns-configured.com,64.32.8.67,0%,70.042,70.097,70.138,0.314,0,64
no-reverse-dns-configured.com,64.32.8.67,50%,70.088,70.101,70.132,0.237,0,64
no-reverse-dns-configured.com,207.244.67.218,0%,32.097,32.175,32.216,0.244,0,64
no-reverse-dns-configured.com,207.244.67.218,40%,32.145,32.259,32.371,0.167,0,64
no-reverse-dns-configured.com,81.171.22.6,10%,99.697,100.215,100.512,0.330,0,64
no-reverse-dns-configured.com,207.244.67.218,0%,32.120,32.303,33.251,0.358,0,64
no-reverse-dns-configured.com,37.48.65.151,10%,100.128,100.241,100.445,0.277,0,64
no-reverse-dns-configured.com,64.32.8.67,0%,70.065,70.094,70.134,0.169,0,64
no-reverse-dns-configured.com,207.244.67.218,0%,31.908,32.274,33.048,0.277,0,64
no-reverse-dns-configured.com,64.32.8.67,0%,70.042,70.100,70.160,0.336,0,64
