name,IP address,% packet loss,rtt min,rtt avg,rtt max,rtt mdev,time of day,packet_size
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.692,89.801,89.890,0.383,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.682,89.796,89.896,0.197,16,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,5.783,5.995,7.001,0.347,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.697,89.792,90.237,0.307,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.748,89.835,89.918,0.238,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.800,89.867,89.946,0.273,16,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,5.752,5.937,6.106,0.157,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.708,89.791,90.324,0.179,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.724,89.752,89.836,0.301,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.707,89.820,90.323,0.294,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.669,89.751,89.978,0.161,16,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,5.744,5.798,5.840,0.088,16,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,5.754,5.918,6.969,0.355,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.711,89.766,89.933,0.147,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.706,89.823,90.484,0.418,16,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,5.688,5.817,5.998,0.082,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.676,89.752,89.885,0.146,16,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,89.690,89.753,89.785,0.355,16,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,5.708,5.806,5.901,0.053,16,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,5.701,6.151,9.723,1.193,16,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.476,6.544,6.654,0.120,23,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.202,6.263,6.511,0.131,23,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.070,92.133,92.223,0.274,23,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.178,6.220,6.259,0.102,23,64
