name,IP address,% packet loss,rtt min,rtt avg,rtt max,rtt mdev,time of day,packet_size
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.044,92.160,92.315,0.339,23,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.083,92.174,92.442,0.395,23,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.186,6.227,6.281,0.105,23,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.042,92.099,92.163,0.305,23,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.066,92.105,92.159,0.028,23,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.170,6.232,6.343,0.048,23,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.192,6.251,6.326,0.093,23,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.065,92.110,92.158,0.385,23,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.193,6.220,6.303,0.060,23,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.066,92.098,92.143,0.304,23,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.066,92.117,92.197,0.196,23,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.205,6.252,6.323,0.048,23,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.058,92.233,92.632,0.287,23,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.200,6.249,6.312,0.099,23,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.022,92.115,92.177,0.046,23,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.062,92.126,92.180,0.237,23,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.222,6.320,6.864,0.191,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.220,6.428,6.695,0.203,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.468,6.519,6.605,0.064,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.479,6.562,6.646,0.107,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.531,6.565,6.639,0.087,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.472,6.573,6.751,0.130,0,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.079,92.120,92.174,0.360,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.512,6.574,6.723,0.115,0,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,92.053,92.118,92.201,0.275,0,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,91.463,91.738,92.143,0.402,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.490,6.541,6.591,0.034,0,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,91.411,91.484,91.586,0.197,0,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,91.378,91.504,91.703,0.340,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.446,6.564,6.628,0.119,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.472,6.521,6.569,0.086,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.474,6.560,6.645,0.061,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.456,6.555,6.644,0.118,0,64
fra15s17-in-f5.1e100.net,172.217.22.69,0%,91.422,91.469,91.505,0.406,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.475,6.673,7.331,0.334,0,64
fra15s17-in-f5.1e100.net,216.239.36.5,0%,6.511,6.545,6.590,0.112,0,64
