name,IP address,% packet loss,rtt min,rtt avg,rtt max,rtt mdev,time of day,packet_size
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.421,129.785,131.511,1.083,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.450,129.749,133.538,1.600,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.896,131.274,138.064,2.762,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.789,129.563,130.659,0.626,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,127.817,129.398,131.796,1.228,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.104,129.900,133.334,1.509,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,129.077,130.231,131.614,0.907,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.694,130.014,131.553,1.077,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.008,129.819,132.038,1.248,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.551,130.143,134.493,1.595,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,127.751,130.598,133.081,1.760,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.301,130.070,132.801,1.333,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.871,130.343,133.420,1.299,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.566,129.990,133.752,1.546,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.697,129.593,131.055,0.670,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.196,129.886,133.507,1.589,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,127.809,129.835,134.651,1.791,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.809,130.063,132.854,1.311,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.139,129.975,132.002,1.198,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.517,130.309,132.894,1.316,16,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,129.451,130.878,132.391,1.005,23,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,128.108,130.537,133.084,1.334,23,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,129.589,131.811,135.322,1.729,23,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,129.046,131.139,134.887,1.905,23,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,129.057,131.119,134.580,2.026,23,64
77-64-170-23.dynamic.primacom.net,77.64.170.23,0%,129.627,130.644,131.414,0.604,23,64
